year,month,stationid,startstatname,start station latitude,start station longitude,starttrips,endstatname,end station latitude,end station longitude,endtrips
2019.0,Jan,398.0,Atlantic Ave & Furman St,40.69165183,-73.99997859999999,623.0,Atlantic Ave & Furman St,40.69165183,-73.99997859999999,685
2019.0,Jan,399.0,Lafayette Ave & St James Pl,40.68851534,-73.9647628,861.0,Lafayette Ave & St James Pl,40.68851534,-73.9647628,574
2019.0,Jan,400.0,Pitt St & Stanton St,40.71926081,-73.98178024,488.0,Pitt St & Stanton St,40.71926081,-73.98178024,497
2019.0,Jan,401.0,Allen St & Rivington St,40.72019576,-73.98997825,2621.0,Allen St & Rivington St,40.72019576,-73.98997825,2613
2019.0,Jan,402.0,Broadway & E 22 St,40.740343200000005,-73.98955109,5896.0,Broadway & E 22 St,40.740343200000005,-73.98955109,6751
2019.0,Jan,403.0,E 2 St & 2 Ave,40.72502876,-73.99069656,2419.0,E 2 St & 2 Ave,40.72502876,-73.99069656,2404
2019.0,Jan,405.0,Washington St & Gansevoort St,40.739323,-74.008119,2178.0,Washington St & Gansevoort St,40.739323,-74.008119,2177
2019.0,Jan,406.0,Hicks St & Montague St,40.69512845,-73.99595065,1435.0,Hicks St & Montague St,40.69512845,-73.99595065,1274
2019.0,Jan,407.0,Henry St & Poplar St,40.700469,-73.991454,582.0,Henry St & Poplar St,40.700469,-73.991454,538
2019.0,Jan,408.0,Market St & Cherry St,40.71076228,-73.99400398,990.0,Market St & Cherry St,40.71076228,-73.99400398,989
2019.0,Jan,409.0,DeKalb Ave & Skillman St,40.6906495,-73.95643107,432.0,DeKalb Ave & Skillman St,40.6906495,-73.95643107,429
2019.0,Jan,410.0,Suffolk St & Stanton St,40.72066442,-73.98517977,2531.0,Suffolk St & Stanton St,40.72066442,-73.98517977,2550
2019.0,Jan,411.0,E 6 St & Avenue D,40.72228087,-73.97668709,1344.0,E 6 St & Avenue D,40.72228087,-73.97668709,1299
2019.0,Jan,412.0,Forsyth St & Canal St,40.715815500000005,-73.99422366,2145.0,Forsyth St & Canal St,40.715815500000005,-73.99422366,2156
2019.0,Jan,414.0,Pearl St & Anchorage Pl,40.70281858,-73.98765762,808.0,Pearl St & Anchorage Pl,40.70281858,-73.98765762,889
2019.0,Jan,415.0,Pearl St & Hanover Square,40.7047177,-74.00926027,1377.0,Pearl St & Hanover Square,40.7047177,-74.00926027,1395
2019.0,Jan,416.0,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,1042.0,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,872
2019.0,Jan,417.0,Barclay St & Church St,40.71291224,-74.01020234,2273.0,Barclay St & Church St,40.71291224,-74.01020234,2277
2019.0,Jan,418.0,Front St & Gold St,40.70224,-73.982578,617.0,Front St & Gold St,40.70224,-73.982578,613
2019.0,Jan,419.0,Carlton Ave & Park Ave,40.69580705,-73.97355569,555.0,Carlton Ave & Park Ave,40.69580705,-73.97355569,634
2019.0,Jan,420.0,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,758.0,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,555
2019.0,Jan,421.0,Clermont Ave & Park Ave,40.69573398,-73.97129668,531.0,Clermont Ave & Park Ave,40.69573398,-73.97129668,548
2019.0,Jan,422.0,W 59 St & 10 Ave,40.770513,-73.988038,1524.0,W 59 St & 10 Ave,40.770513,-73.988038,1540
2019.0,Jan,423.0,W 54 St & 9 Ave,40.76584941,-73.98690506,1817.0,W 54 St & 9 Ave,40.76584941,-73.98690506,1825
2019.0,Jan,426.0,West St & Chambers St,40.71754834,-74.01322069,3123.0,West St & Chambers St,40.71754834,-74.01322069,3258
2019.0,Jan,427.0,Bus Slip & State St,40.701907,-74.013942,833.0,Bus Slip & State St,40.701907,-74.013942,860
2019.0,Jan,432.0,E 7 St & Avenue A,40.72621788,-73.98379855,3680.0,E 7 St & Avenue A,40.72621788,-73.98379855,3201
2019.0,Jan,435.0,W 21 St & 6 Ave,40.74173969,-73.99415556,6542.0,W 21 St & 6 Ave,40.74173969,-73.99415556,6501
2019.0,Jan,436.0,Hancock St & Bedford Ave,40.68216564,-73.95399026,306.0,Hancock St & Bedford Ave,40.68216564,-73.95399026,287
2019.0,Jan,437.0,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,974.0,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,1016
